Meal,Preperation Time,Cooking Time,Calories,Fat,Cholesterol,Carbs,Fiber,Protein,Lookup Ingredients,new_ingredients,modified_ingredients
Breakfast,5.0,5.0,681,36.0,10.0,53.0,6.0,33.0,"['cheese', 'oil', 'salmon', 'bagels', 'eggs', 'cayenne', 'lemon', 'avocado']",cheese oil salmon bagels eggs cayenne lemon avocado,cheese oil salmon bagel egg cayenne lemon avocado
Breakfast,5.0,0.0,124,1.0,0.1,25.0,5.0,2.0,"['honey', 'strawberries', 'extra', 'blueberries', 'blackberries', 'water']",honey strawberries extra blueberries blackberries water,honey strawberry extra blueberry blackberry water
Breakfast,10.0,0.0,223,0.0,0.0,10.0,0.1,0.1,"['orange', 'marmalade', 'juice', 'wine', 'ice', 'gin']",orange marmalade juice wine ice gin,orange marmalade juice wine ice gin
Breakfast,5.0,0.0,322,14.0,2.0,32.0,10.0,11.0,"['honey', 'seeds', 'flaked', 'milk', 'extract']",honey seeds flaked milk extract,honey seed flaked milk extract
Breakfast,5.0,45.0,612,26.0,7.0,64.0,9.0,25.0,"['butter', 'oil', 'beans', 'pork', 'eggs', 'sauce', 'chips', 'bacon']",butter oil beans pork eggs sauce chips bacon,butter oil bean pork egg sauce chip bacon
Breakfast,20.0,25.0,205,10.0,5.0,25.0,2.0,3.0,"['butter', 'sugar', 'apricots', 'cereal', 'syrup', 'oats', 'raisins']",butter sugar apricots cereal syrup oats raisins,butter sugar apricot cereal syrup oat raisin
Breakfast,10.0,0.0,243,10.0,7.0,27.0,6.0,7.0,"['spinach', 'greens', 'coconut', 'celery', 'milk', 'florets']",spinach greens coconut celery milk florets,spinach green coconut celery milk floret
Breakfast,25.0,0.0,415,10.0,2.0,57.0,11.0,20.0,"['fat', 'extra', 'milk', 'oats', 'blueberries', 'pumpkin']",fat extra milk oats blueberries pumpkin,fat extra milk oat blueberry pumpkin
Breakfast,5.0,15.0,316,11.0,1.0,35.0,7.0,15.0,"['berries', 'nuts', 'fat', 'oats', 'raisins']",berries nuts fat oats raisins,berry nut fat oat raisin
Breakfast,45.0,0.0,179,7.1,0.9,22.7,3.3,5.2,"['flaxseed', 'honey', 'oil', 'extra', 'pumpkin', 'eggs', 'sauce', 'soda', 'cinnamon', 'oats', 'flour', 'extract']",flaxseed honey oil extra pumpkin eggs sauce soda cinnamon oats flour extract,flaxseed honey oil extra pumpkin egg sauce soda cinnamon oat flour extract
Breakfast,15.0,30.0,127,8.0,2.0,5.0,3.0,9.0,"['spinach', 'oil', 'eggs', 'clove', 'tomatoes', 'mushrooms']",spinach oil eggs clove tomatoes mushrooms,spinach oil egg clove tomato mushroom
Breakfast,15.0,30.0,553,33.0,11.0,31.0,3.0,31.0,"['butter', 'oil', 'extra', 'eggs', 'soda', 'onions', 'potatoes', 'milk', 'flour', 'bacon']",butter oil extra eggs soda onions potatoes milk flour bacon,butter oil extra egg soda onion potato milk flour bacon
Breakfast,15.0,0.0,261,11.0,8.0,27.0,5.0,10.0,"['fruit', 'matcha', 'coconut', 'syrup', 'blueberries']",fruit matcha coconut syrup blueberries,fruit matcha coconut syrup blueberry
Breakfast,5.0,0.0,570,24.0,6.0,70.0,7.0,14.0,"['butter', 'berries', 'granola', 'bananas', 'blueberries']",butter berries granola bananas blueberries,butter berry granola banana blueberry
Breakfast,5.0,35.0,534,39.0,14.0,14.0,2.0,30.0,"['toast', 'oil', 'fat', 'eggs', 'sauce', 'asparagus', 'bacon']",toast oil fat eggs sauce asparagus bacon,toast oil fat egg sauce asparagus bacon
Breakfast,60.0,70.0,422,14.0,6.0,64.0,4.0,10.0,"['butter', 'nutella', 'sugar', 'extra', 'yeast', 'jam', 'milk', 'flour', 'raspberries']",butter nutella sugar extra yeast jam milk flour raspberries,butter nutella sugar extra yeast jam milk flour raspberry
Breakfast,20.0,35.0,801,47.0,18.0,64.0,4.0,34.0,"['parsley', 'cheese', 'leaves', 'meat', 'relish', 'yolk', 'sauce', 'ciabatta', 'ketchup', 'bacon']",parsley cheese leaves meat relish yolk sauce ciabatta ketchup bacon,parsley cheese leaf meat relish yolk sauce ciabatta ketchup bacon
Breakfast,5.0,0.0,414,9.0,3.0,74.0,4.0,7.0,"['granola', 'syrup', 'blueberries', 'mango', 'sorbet']",granola syrup blueberries mango sorbet,granola syrup blueberry mango sorbet
Breakfast,30.0,45.0,329,8.0,4.0,56.0,3.0,8.0,"['butter', 'sugar', 'extra', 'yeast', 'eggs', 'cinnamon', 'milk', 'flour']",butter sugar extra yeast eggs cinnamon milk flour,butter sugar extra yeast egg cinnamon milk flour
Breakfast,5.0,0.0,189,1.0,0.1,37.0,10.0,4.0,"['orange', 'ice', 'mango']",orange ice mango,orange ice mango
Breakfast,5.0,15.0,705,64.0,36.0,16.0,1.0,18.0,"['eggs', 'ham', 'wine', 'sauce']",eggs ham wine sauce,egg ham wine sauce
Breakfast,15.0,25.0,223,9.0,4.0,30.0,1.0,4.0,"['butter', 'sugar', 'extra', 'eggs', 'pecans', 'soda', 'milk', 'bananas', 'flour', 'extract']",butter sugar extra eggs pecans soda milk bananas flour extract,butter sugar extra egg pecan soda milk banana flour extract
Breakfast,40.0,20.0,221,7.0,4.0,36.0,1.0,5.0,"['butter', 'sugar', 'extra', 'yeast', 'cinnamon', 'milk', 'flour']",butter sugar extra yeast cinnamon milk flour,butter sugar extra yeast cinnamon milk flour
Breakfast,10.0,40.0,218,8.0,1.0,33.0,2.0,3.0,"['fruit', 'oil', 'sugar', 'black', 'extra', 'cinnamon', 'flour']",fruit oil sugar black extra cinnamon flour,fruit oil sugar black extra cinnamon flour
Breakfast,25.0,30.0,356,13.0,6.0,46.0,2.0,13.0,"['chocolate', 'butter', 'oil', 'sugar', 'extra', 'eggs', 'syrup', 'milk', 'blueberries', 'flour', 'bacon']",chocolate butter oil sugar extra eggs syrup milk blueberries flour bacon,chocolate butter oil sugar extra egg syrup milk blueberry flour bacon
Breakfast,40.0,35.0,460,23.0,14.0,49.0,2.0,12.0,"['butter', 'sugar', 'salt', 'yeast', 'eggs', 'milk', 'flour']",butter sugar salt yeast eggs milk flour,butter sugar salt yeast egg milk flour
Breakfast,5.0,30.0,587,48.0,15.0,13.0,2.0,28.0,"['toast', 'oil', 'eggs', 'mustard', 'tomatoes', 'sausages', 'bacon']",toast oil eggs mustard tomatoes sausages bacon,toast oil egg mustard tomato sausage bacon
Breakfast,5.0,20.0,618,37.0,11.0,37.0,5.0,37.0,"['bread', 'oil', 'cider', 'orange', 'pork', 'eggs', 'tomatoes', 'mushrooms', 'blueberries', 'bacon']",bread oil cider orange pork eggs tomatoes mushrooms blueberries bacon,bread oil cider orange pork egg tomato mushroom blueberry bacon
Breakfast,15.0,25.0,229,16.0,5.0,2.0,2.0,17.0,"['paprika', 'oil', 'chives', 'broccoli', 'eggs', 'onions', 'red', 'milk']",paprika oil chives broccoli eggs onions red milk,paprika oil chive broccoli egg onion red milk
Breakfast,10.0,30.0,245,17.0,7.0,20.0,3.0,4.0,"['butter', 'sugar', 'coconut', 'syrup', 'seeds', 'cinnamon']",butter sugar coconut syrup seeds cinnamon,butter sugar coconut syrup seed cinnamon
Breakfast,20.0,35.0,277,14.0,4.0,25.0,3.0,13.0,"['oil', 'yolk', 'chutney', 'onions', 'flour', 'bacon']",oil yolk chutney onions flour bacon,oil yolk chutney onion flour bacon
Breakfast,5.0,5.0,376,23.0,11.0,23.0,1.0,19.0,"['eggs', 'milk', 'bread', 'butter']",eggs milk bread butter,egg milk bread butter
Breakfast,20.0,30.0,411,25.0,13.0,20.0,1.0,25.0,"['butter', 'dijon', 'eggs', 'ham', 'mushrooms', 'milk', 'cream', 'flour']",butter dijon eggs ham mushrooms milk cream flour,butter dijon egg ham mushroom milk cream flour
Breakfast,5.0,16.0,92,3.0,1.0,15.0,1.0,3.0,"['fruit', 'butter', 'oil', 'sugar', 'salt', 'milk', 'flour']",fruit butter oil sugar salt milk flour,fruit butter oil sugar salt milk flour
Breakfast,5.0,5.0,38,2.0,0.0,3.0,1.0,1.0,"['black', 'syrup', 'cinnamon', 'milk', 'ginger', 'extract']",black syrup cinnamon milk ginger extract,black syrup cinnamon milk ginger extract
Breakfast,5.0,15.0,349,26.0,8.0,4.0,1.0,25.0,"['cheese', 'chives', 'pork', 'eggs', 'tomatoes', 'bacon']",cheese chives pork eggs tomatoes bacon,cheese chive pork egg tomato bacon
Breakfast,10.0,5.0,413,19.0,2.0,45.0,8.0,12.0,"['crisps', 'apricots', 'hazelnuts', 'cinnamon', 'milk', 'oats', 'blueberries', 'pumpkin']",crisps apricots hazelnuts cinnamon milk oats blueberries pumpkin,crisp apricot hazelnut cinnamon milk oat blueberry pumpkin
Breakfast,5.0,12.0,545,30.0,9.0,39.0,6.0,26.0,"['eggs', 'milk', 'oil', 'tomatoes']",eggs milk oil tomatoes,egg milk oil tomato
Breakfast,10.0,15.0,121,3.0,1.0,19.0,1.0,4.0,"['oil', 'sugar', 'salt', 'cinnamon', 'milk', 'flour']",oil sugar salt cinnamon milk flour,oil sugar salt cinnamon milk flour
Breakfast,15.0,70.0,296,16.0,13.0,33.0,1.0,5.0,"['sugar', 'extra', 'coconut', 'cardamom', 'eggs', 'bananas', 'flour']",sugar extra coconut cardamom eggs bananas flour,sugar extra coconut cardamom egg banana flour
Breakfast,5.0,15.0,222,7.0,3.0,29.0,3.0,8.0,"['syrup', 'milk', 'any', 'oats', 'dates', 'cocoa']",syrup milk any oats dates cocoa,syrup milk any oat date cocoa
Breakfast,5.0,10.0,399,18.0,7.0,41.0,6.0,16.0,"['chocolate', 'pistachios', 'milk', 'oats', 'cocoa']",chocolate pistachios milk oats cocoa,chocolate pistachio milk oat cocoa
Breakfast,10.0,20.0,605,36.0,19.0,46.0,2.0,23.0,"['butter', 'leaves', 'chives', 'extra', 'eggs', 'sauce', 'ham', 'milk', 'flour']",butter leaves chives extra eggs sauce ham milk flour,butter leaf chive extra egg sauce ham milk flour
Breakfast,20.0,60.0,315,15.0,6.0,38.0,2.0,6.0,"['almonds', 'sugar', 'extra', 'coconut', 'milk', 'bananas', 'flour', 'dates']",almonds sugar extra coconut milk bananas flour dates,almond sugar extra coconut milk banana flour date
Breakfast,10.0,20.0,277,5.0,1.0,46.0,4.0,9.0,"['blueberries', 'flour', 'oil', 'extract']",blueberries flour oil extract,blueberry flour oil extract
Breakfast,10.0,25.0,153,6.0,3.0,21.0,1.0,3.0,"['butter', 'oil', 'sugar', 'extra', 'eggs', 'syrup', 'cinnamon', 'milk', 'flour']",butter oil sugar extra eggs syrup cinnamon milk flour,butter oil sugar extra egg syrup cinnamon milk flour
Breakfast,5.0,0.0,501,33.0,7.0,37.0,9.0,10.0,"['lemon', 'extra', 'avocado', 'sourdough']",lemon extra avocado sourdough,lemon extra avocado sourdough
Breakfast,10.0,0.0,348,11.0,2.0,46.0,6.0,13.0,"['honey', 'butter', 'berries', 'cinnamon', 'oats']",honey butter berries cinnamon oats,honey butter berry cinnamon oat
Breakfast,5.0,5.0,356,20.0,4.0,18.0,11.0,20.0,"['oil', 'beans', 'coriander', 'cumin', 'eggs', 'lime', 'red', 'clove', 'tomatoes', 'avocado']",oil beans coriander cumin eggs lime red clove tomatoes avocado,oil bean coriander cumin egg lime red clove tomato avocado
Breakfast,10.0,20.0,225,14.0,1.3,7.0,3.0,15.0,"['parsley', 'paprika', 'oil', 'cumin', 'extra', 'clove', 'tomatoes', 'rye']",parsley paprika oil cumin extra clove tomatoes rye,parsley paprika oil cumin extra clove tomato rye
Breakfast,5.0,15.0,401,29.0,12.0,26.0,1.0,9.0,"['butter', 'oil', 'berries', 'eggs', 'brioche', 'cinnamon', 'milk', 'cream', 'extract']",butter oil berries eggs brioche cinnamon milk cream extract,butter oil berry egg brioche cinnamon milk cream extract
Breakfast,10.0,0.0,370,15.0,3.0,38.0,12.0,14.0,"['almonds', 'seeds', 'milk', 'oats', 'blueberries', 'raspberries', 'extract']",almonds seeds milk oats blueberries raspberries extract,almond seed milk oat blueberry raspberry extract
Breakfast,15.0,30.0,28,0.0,0.0,7.0,0.1,0.1,"['vanilla', 'lemon', 'blueberries', 'sugar']",vanilla lemon blueberries sugar,vanilla lemon blueberry sugar
Breakfast,10.0,7.0,357,11.0,3.0,47.0,5.0,14.0,"['nuts', 'orange', 'cinnamon', 'nectarines', 'oats', 'ginger']",nuts orange cinnamon nectarines oats ginger,nut orange cinnamon nectarine oat ginger
Breakfast,40.0,20.0,579,35.0,5.0,28.0,2.0,37.0,"['parsley', 'oil', 'dill', 'salmon', 'capers', 'fillets', 'eggs', 'cayenne', 'panko', 'lemon', 'flour']",parsley oil dill salmon capers fillets eggs cayenne panko lemon flour,parsley oil dill salmon caper fillet egg cayenne panko lemon flour
Breakfast,20.0,10.0,368,19.0,3.0,30.0,13.0,12.0,"['chipotle', 'bread', 'oil', 'garlic', 'beans', 'coriander', 'cumin', 'lime', 'red', 'tomatoes', 'avocado']",chipotle bread oil garlic beans coriander cumin lime red tomatoes avocado,chipotle bread oil garlic bean coriander cumin lime red tomato avocado
Breakfast,5.0,25.0,170,7.0,2.0,15.0,4.0,9.0,"['toast', 'butter', 'pepper', 'oil', 'leaves', 'eggs', 'thyme', 'onions', 'red', 'potatoes', 'clove']",toast butter pepper oil leaves eggs thyme onions red potatoes clove,toast butter pepper oil leaf egg thyme onion red potato clove
Breakfast,5.0,0.0,106,3.0,1.0,14.0,2.0,4.0,"['apples', 'milk', 'oats', 'lemon', 'raspberries']",apples milk oats lemon raspberries,apple milk oat lemon raspberry
Breakfast,5.0,5.0,204,13.0,3.0,4.0,1.0,17.0,"['parsley', 'oil', 'eggs', 'tomatoes', 'basil']",parsley oil eggs tomatoes basil,parsley oil egg tomato basil
Breakfast,10.0,20.0,234,13.0,1.0,23.0,1.0,4.0,"['honey', 'oil', 'eggs', 'raisins', 'soda', 'seeds', 'flour', 'extract']",honey oil eggs raisins soda seeds flour extract,honey oil egg raisin soda seed flour extract
Breakfast,5.0,0.0,226,13.0,4.0,16.0,6.0,8.0,"['spinach', 'strawberries', 'avocado', 'zest']",spinach strawberries avocado zest,spinach strawberry avocado zest
Breakfast,1.0,2.0,153,5.0,2.0,21.0,1.0,5.0,"['strawberries', 'syrup', 'butter', 'flour']",strawberries syrup butter flour,strawberry syrup butter flour
Breakfast,5.0,25.0,405,15.0,2.0,52.0,6.0,12.0,"['extra', 'cinnamon', 'milk', 'bananas', 'walnuts', 'oats']",extra cinnamon milk bananas walnuts oats,extra cinnamon milk banana walnut oat
Breakfast,5.0,10.0,265,8.0,3.0,37.0,2.0,11.0,"['fruit', 'oil', 'eggs', 'syrup', 'milk', 'flour']",fruit oil eggs syrup milk flour,fruit oil egg syrup milk flour
Breakfast,10.0,20.0,639,24.0,13.0,85.0,4.0,19.0,"['bread', 'butter', 'sugar', 'orange', 'vanilla', 'rhubarb', 'milk', 'custard']",bread butter sugar orange vanilla rhubarb milk custard,bread butter sugar orange vanilla rhubarb milk custard
Breakfast,5.0,15.0,665,39.0,17.0,48.0,8.0,27.0,"['salsify', 'butter', 'oil', 'chives', 'dijon', 'black', 'eggs', 'nutmeg', 'lemon']",salsify butter oil chives dijon black eggs nutmeg lemon,salsify butter oil chive dijon black egg nutmeg lemon
Breakfast,15.0,30.0,107,3.0,1.0,14.0,1.0,5.0,"['oil', 'extra', 'eggs', 'rounds', 'milk', 'flour', 'raisins']",oil extra eggs rounds milk flour raisins,oil extra egg round milk flour raisin
Breakfast,10.0,4.0,370,19.0,6.0,34.0,8.0,11.0,"['almonds', 'coconut', 'seeds', 'milk', 'grapefruit', 'oats']",almonds coconut seeds milk grapefruit oats,almond coconut seed milk grapefruit oat
Breakfast,10.0,10.0,385,20.0,4.0,31.0,8.0,16.0,"['oil', 'eggs', 'soda', 'tomatoes', 'avocado']",oil eggs soda tomatoes avocado,oil egg soda tomato avocado
Breakfast,10.0,35.0,111,5.0,1.0,14.0,1.0,3.0,"['oil', 'ginger', 'sugar', 'extra', 'syrup', 'cinnamon', 'milk', 'flour', 'dates']",oil ginger sugar extra syrup cinnamon milk flour dates,oil ginger sugar extra syrup cinnamon milk flour date
Breakfast,15.0,20.0,353,18.0,2.0,32.0,4.0,9.0,"['oil', 'coriander', 'yeast', 'seeds', 'tomatoes', 'mushrooms', 'oats', 'tahini', 'flour']",oil coriander yeast seeds tomatoes mushrooms oats tahini flour,oil coriander yeast seed tomato mushroom oat tahini flour
Breakfast,30.0,15.0,408,15.0,3.0,52.0,5.0,14.0,"['sugar', 'salt', 'yeast', 'seeds', 'pomegranate', 'flour']",sugar salt yeast seeds pomegranate flour,sugar salt yeast seed pomegranate flour
Breakfast,10.0,20.0,264,21.0,8.0,16.0,2.0,2.0,"['butter', 'oil', 'potatoes']",butter oil potatoes,butter oil potato
Breakfast,5.0,5.0,243,15.0,2.0,15.0,4.0,9.0,"['oil', 'eggs', 'pecans', 'raspberries', 'extract']",oil eggs pecans raspberries extract,oil egg pecan raspberry extract
Breakfast,5.0,2.0,478,23.0,5.0,46.0,7.0,17.0,"['berries', 'nuts', 'seeds', 'cinnamon', 'wheat', 'oats', 'blueberries', 'raspberries', 'dates']",berries nuts seeds cinnamon wheat oats blueberries raspberries dates,berry nut seed cinnamon wheat oat blueberry raspberry date
Breakfast,10.0,30.0,441,27.0,27.0,8.0,5.0,23.0,"['toast', 'oil', 'beans', 'chorizo', 'sauce', 'eggs', 'passata', 'onions', 'sausages', 'borlotti', 'rosemary']",toast oil beans chorizo sauce eggs passata onions sausages borlotti rosemary,toast oil bean chorizo sauce egg passata onion sausage borlotti rosemary
Breakfast,10.0,25.0,225,13.0,1.0,12.0,13.0,8.0,"['honey', 'apricots', 'vanilla', 'seeds', 'lemon', 'milk', 'blueberries']",honey apricots vanilla seeds lemon milk blueberries,honey apricot vanilla seed lemon milk blueberry
Breakfast,10.0,2.0,196,9.0,4.0,15.0,6.0,10.0,"['leaves', 'berries', 'strawberries', 'seeds', 'milk', 'blueberries', 'extract']",leaves berries strawberries seeds milk blueberries extract,leaf berry strawberry seed milk blueberry extract
Breakfast,5.0,0.0,75,1.0,0.0,13.0,3.0,2.0,"['carrots', 'oats', 'ginger', 'ice']",carrots oats ginger ice,carrot oat ginger ice
Breakfast,5.0,15.0,298,20.0,4.0,8.0,6.0,18.0,"['spinach', 'oil', 'garlic', 'extra', 'leeks', 'eggs', 'seeds', 'fennel', 'lemon']",spinach oil garlic extra leeks eggs seeds fennel lemon,spinach oil garlic extra leek egg seed fennel lemon
Breakfast,10.0,30.0,370,21.0,5.0,20.0,8.0,20.0,"['paprika', 'oil', 'garlic', 'beans', 'extra', 'sauce', 'eggs', 'thyme', 'tomatoes', 'mushrooms']",paprika oil garlic beans extra sauce eggs thyme tomatoes mushrooms,paprika oil garlic bean extra sauce egg thyme tomato mushroom
Breakfast,5.0,5.0,523,33.0,16.0,38.0,2.0,17.0,"['coriander', 'butter', 'naan']",coriander butter naan,coriander butter naan
Breakfast,5.0,5.0,462,10.0,2.0,62.0,9.0,13.0,"['pistachios', 'berries', 'orange', 'milk', 'oats']",pistachios berries orange milk oats,pistachio berry orange milk oat
Breakfast,10.0,90.0,174,4.0,1.0,27.0,1.0,6.0,"['oil', 'sugar', 'eggs', 'syrup', 'milk', 'cream', 'flour', 'bacon', 'extract']",oil sugar eggs syrup milk cream flour bacon extract,oil sugar egg syrup milk cream flour bacon extract
Breakfast,10.0,25.0,399,16.0,4.0,48.0,9.0,12.0,"['berries', 'oil', 'orange', 'cinnamon', 'milk', 'oats']",berries oil orange cinnamon milk oats,berry oil orange cinnamon milk oat
Breakfast,10.0,18.0,402,10.0,4.0,57.0,7.0,17.0,"['peaches', 'extra', 'milk', 'oats', 'ginger', 'quinoa', 'extract']",peaches extra milk oats ginger quinoa extract,peach extra milk oat ginger quinoa extract
Breakfast,3.0,7.0,682,46.0,13.0,32.0,13.0,27.0,"['oil', 'beans', 'corn', 'sauce', 'juice', 'avocado']",oil beans corn sauce juice avocado,oil bean corn sauce juice avocado
Breakfast,10.0,13.0,80,6.0,2.0,0.3,0.3,7.0,"['eggs', 'toast', 'onions', 'chives']",eggs toast onions chives,egg toast onion chive
Breakfast,10.0,15.0,441,23.0,6.0,30.0,9.0,24.0,"['chickpeas', 'oil', 'leaves', 'cumin', 'eggs', 'mint', 'red', 'lemon']",chickpeas oil leaves cumin eggs mint red lemon,chickpea oil leaf cumin egg mint red lemon
Breakfast,10.0,10.0,310,9.0,2.0,45.0,5.0,10.0,"['butternut', 'cinnamon', 'milk', 'oats', 'walnuts', 'raisins']",butternut cinnamon milk oats walnuts raisins,butternut cinnamon milk oat walnut raisin
Breakfast,20.0,0.0,165,8.0,4.0,15.0,4.0,5.0,"['honey', 'strawberries', 'coconut', 'granola', 'seeds', 'cinnamon', 'lemon', 'oats', 'raspberries', 'pumpkin']",honey strawberries coconut granola seeds cinnamon lemon oats raspberries pumpkin,honey strawberry coconut granola seed cinnamon lemon oat raspberry pumpkin
Breakfast,5.0,0.0,180,8.0,5.0,19.0,7.0,3.0,"['berries', 'coconut', 'pineapple', 'ice', 'oats']",berries coconut pineapple ice oats,berry coconut pineapple ice oat
Breakfast,5.0,5.0,231,7.0,2.0,28.0,4.0,13.0,"['cheese', 'bread', 'oil', 'chives', 'orange', 'mustard', 'mushrooms', 'milk']",cheese bread oil chives orange mustard mushrooms milk,cheese bread oil chive orange mustard mushroom milk
Breakfast,75.0,35.0,546,27.0,12.0,65.0,2.0,9.0,"['butter', 'oil', 'ginger', 'sugar', 'extra', 'yeast', 'eggs', 'pecans', 'cinnamon', 'nutmeg', 'milk', 'flour', 'extract']",butter oil ginger sugar extra yeast eggs pecans cinnamon nutmeg milk flour extract,butter oil ginger sugar extra yeast egg pecan cinnamon nutmeg milk flour extract
Breakfast,10.0,15.0,185,6.0,1.0,23.0,3.0,9.0,"['leaves', 'oil', 'extra', 'cinnamon', 'milk', 'blueberries', 'flour']",leaves oil extra cinnamon milk blueberries flour,leaf oil extra cinnamon milk blueberry flour
Breakfast,7.0,8.0,485,37.0,21.0,5.0,3.0,32.0,"['spinach', 'chives', 'coconut', 'eggs', 'onions', 'tomatoes']",spinach chives coconut eggs onions tomatoes,spinach chive coconut egg onion tomato
Breakfast,10.0,25.0,338,6.0,3.0,60.0,2.0,10.0,"['fruit', 'butter', 'oil', 'sugar', 'yeast', 'milk', 'flour', 'raisins']",fruit butter oil sugar yeast milk flour raisins,fruit butter oil sugar yeast milk flour raisin
Breakfast,5.0,5.0,218,17.0,15.0,12.0,3.0,3.0,"['maraschino', 'juice', 'coconut']",maraschino juice coconut,maraschino juice coconut
Breakfast,10.0,20.0,712,29.0,17.0,90.0,3.0,16.0,"['mascarpone', 'chocolate', 'butter', 'sugar', 'fat', 'coffee', 'extra', 'eggs', 'liqueur', 'vodka', 'milk', 'water', 'flour', 'extract']",mascarpone chocolate butter sugar fat coffee extra eggs liqueur vodka milk water flour extract,mascarpone chocolate butter sugar fat coffee extra egg liqueur vodka milk water flour extract
Breakfast,1050.0,0.0,120,5.0,3.0,11.0,0.0,8.0,['milk'],milk,milk
